round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
Third,Bernard Tomic,4-6 7-6(0) 7-6(6) 2-6 6-3,2012,m,Bernard Tomic,Alexandr Dolgopolov,AUS,UKR,69%,45%,13,22,2,3,63%,78%,56%,53%,198,209,178,193,145,135,44%,33%,36%,39%,174,174,41,80,61,78,62%,70%
Third,Roger Federer,7-6(6) 7-5 6-3,2012,m,Roger Federer,Ivo Karlovic,SUI,CRO,62%,71%,9,15,0,3,80%,76%,74%,34%,203,211,182,199,150,169,33%,0%,36%,22%,120,98,55,40,13,35,69%,52%
Third,Tomas Berdych,7-6(5) 7-6(1) 6-1,2012,m,Tomas Berdych,Kevin Anderson,CZE,RSA,53%,69%,14,16,6,5,81%,71%,64%,41%,220,210,197,192,153,167,18%,0%,39%,27%,124,102,49,41,28,40,76%,44%
Third,Nicolas Almagro,7-6(2) 6-2 6-4,2012,m,Nicolas Almagro,Stanislas Wawrinka,ESP,SUI,56%,53%,6,4,0,2,72%,57%,63%,47%,212,202,187,173,143,133,38%,100%,47%,32%,116,90,31,30,26,49,67%,50%
Third,Feliciano Lopez,6-3 6-7(3) 6-4 6-7(0) 6-1,2012,m,Feliciano Lopez,John Isner,ESP,USA,56%,73%,16,30,12,3,76%,72%,64%,44%,216,217,192,197,162,175,55%,25%,35%,29%,160,140,55,64,30,51,71%,64%
Third,Rafael Nadal,6-2 6-4 6-2,2012,m,Rafael Nadal,Lukas Lacko,ESP,SVK,81%,67%,2,8,0,3,85%,60%,46%,42%,197,202,172,179,132,151,50%,20%,46%,22%,89,57,27,17,19,30,75%,70%
Second,Novak Djokovic,6-3 6-2 6-1,2012,m,Novak Djokovic,Santiago Giraldo,SRB,COL,55%,52%,9,3,2,3,81%,63%,66%,31%,201,200,188,183,148,148,54%,50%,52%,26%,86,52,27,13,21,39,69%,50%
Second,Nicolas Mahut,1-6 7-6(6) 6-2 6-2,2012,m,Nicolas Mahut,Tatsuma Ito,FRA,JPN,69%,62%,8,3,2,5,64%,62%,37%,44%,192,205,166,170,137,139,44%,55%,45%,45%,123,123,28,39,46,54,64%,53%
Second,Milos Raonic,6-4 5-7 6-2 7-5,2012,m,Milos Raonic,Philipp Petzschner,CAN,GER,54%,54%,17,10,6,4,81%,79%,54%,40%,225,214,204,187,165,138,71%,18%,39%,32%,136,122,47,38,38,44,53%,66%
Second,Lleyton Hewitt,3-6 6-3 6-4 ret.,2012,m,Lleyton Hewitt,Andy Roddick,AUS,USA,58%,62%,11,9,2,2,82%,68%,52%,54%,195,219,172,193,138,166,43%,40%,37%,31%,88,81,41,28,27,22,68%,44%
Second,Janko Tipsarevic,3-6 6-2 7-6(5) 6-4,2012,m,Janko Tipsarevic,James Duckworth,SRB,AUS,56%,66%,11,10,3,6,80%,66%,61%,44%,199,207,184,174,145,129,31%,60%,41%,29%,135,115,42,45,31,53,71%,69%
Second,Richard Gasquet,6-4 6-2 3-0 ret.,2012,m,Richard Gasquet,Andrey Golubev,FRA,KAZ,60%,66%,5,4,0,5,78%,46%,50%,46%,204,193,177,169,143,153,35%,100%,54%,33%,84,58,33,27,10,27,68%,62%
Second,Juan Ignacio Chela,6-4 6-4 6-3,2012,m,Juan Ignacio Chela,Pablo Andujar,ARG,ESP,70%,57%,1,0,3,6,60%,51%,52%,39%,187,191,161,172,129,145,53%,42%,54%,43%,103,82,17,33,27,62,64%,70%
Second,David Ferrer,6-7(4) 6-2 3-6 6-2 6-3,2012,m,David Ferrer,Ryan Sweeting,ESP,USA,67%,63%,6,5,6,9,68%,64%,54%,45%,190,207,171,183,142,154,70%,30%,43%,37%,155,137,36,48,37,73,53%,74%
Second,Andy Murray,6-1 6-4 6-4,2012,m,Andy Murray,Edouard Roger-Vasselin,GBR,FRA,68%,56%,9,2,2,2,85%,66%,60%,43%,217,195,181,182,140,149,33%,0%,44%,23%,101,71,41,29,19,33,78%,67%
Second,Michael Llodra,6-1 6-3 4-6 5-7 6-4,2012,m,Michael Llodra,Alex Jr. Bogomolov,FRA,RUS,59%,77%,12,1,8,6,66%,58%,48%,34%,,,,,NULL,NULL,65%,57%,47%,41%,151,135,12,1,8,6,,
Second,Mikhail Kukushkin,5-7 6-4 6-2 4-6 6-3,2012,m,Mikhail Kukushkin,Viktor Troicki,KAZ,SRB,63%,53%,5,7,3,2,71%,63%,55%,53%,197,210,173,184,126,132,39%,45%,42%,35%,154,138,48,32,56,64,49%,63%
Second,Gael Monfils,2-6 6-0 6-4 6-2,2012,m,Gael Monfils,Thomaz Bellucci,FRA,BRA,61%,56%,3,1,5,2,69%,62%,49%,42%,210,200,175,178,148,144,44%,25%,47%,39%,121,103,34,29,37,53,62%,61%
Second,Julien Benneteau,7-5 7-6(8) 1-6 3-6 6-2,2012,m,Julien Benneteau,Gilles Simon,FRA,FRA,63%,64%,6,3,6,3,63%,64%,50%,48%,203,201,174,159,131,132,39%,47%,42%,42%,163,165,58,55,55,40,66%,63%
Second,Kei Nishikori,3-6 1-6 6-4 6-1 6-1,2012,m,Kei Nishikori,Matthew Ebden,JPN,AUS,67%,66%,2,6,3,2,61%,67%,52%,40%,197,200,168,179,137,142,42%,50%,42%,42%,127,126,38,31,57,54,56%,64%
Second,Frederico Gil,6-3 4-6 6-4 6-3,2012,m,Frederico Gil,Marcel Granollers,POR,ESP,70%,59%,3,7,0,5,70%,70%,58%,40%,,,,,0,0,40%,50%,42%,34%,124,108,3,7,0,5,,
Second,Jo-Wilfried Tsonga,7-5 6-4 6-4,2012,m,Jo-Wilfried Tsonga,Ricardo Mello,FRA,BRA,73%,51%,15,2,3,7,74%,67%,52%,51%,214,180,183,162,138,135,50%,33%,41%,32%,102,86,54,18,44,19,76%,62%
Second,Alejandro Falla,7-6(4) 6-3 7-6(6),2012,m,Alejandro Falla,Mardy Fish,COL,USA,59%,62%,5,5,1,0,65%,62%,58%,49%,198,213,171,181,135,144,83%,36%,43%,38%,116,102,30,35,34,58,77%,61%
Second,Philipp Kohlschreiber,6-0 4-0 ret.,2012,m,Philipp Kohlschreiber,Pere Riba,GER,ESP,77%,42%,1,0,1,2,90%,47%,50%,24%,203,195,174,178,152,137,71%,0%,67%,19%,45,17,16,5,7,18,100%,43%
Second,Yen-Hsun Lu,7-5 6-2 6-2,2012,m,Yen-Hsun Lu,Florent Serra,TPE,FRA,69%,61%,4,5,2,3,89%,60%,71%,44%,,,,,0,0,42%,0%,46%,16%,106,68,4,5,2,3,,
Second,Juan Martin Del Potro,6-4 7-5 6-3,2012,m,Juan Martin Del Potro,Blaz Kavcic,ARG,SLO,64%,57%,14,3,5,9,76%,67%,48%,32%,207,210,186,179,144,149,58%,100%,48%,34%,109,86,41,22,35,38,60%,69%
Second,Alexandr Dolgopolov,4-6 6-1 6-1 3-6 8-6,2012,m,Alexandr Dolgopolov,Tobias Kamke,UKR,GER,61%,59%,16,2,4,9,76%,57%,43%,55%,212,192,189,175,129,151,45%,38%,44%,37%,163,143,61,30,73,63,70%,57%
Second,Bernard Tomic,3-6 6-3 7-6(3) 6-3,2012,m,Bernard Tomic,Sam Querrey,AUS,USA,68%,62%,6,22,1,7,77%,85%,66%,40%,198,218,174,199,141,151,30%,67%,32%,27%,125,112,30,52,29,50,82%,60%
Second,Ivo Karlovic,7-6(4) 3-6 6-3 6-4,2012,m,Ivo Karlovic,Carlos Berlocq,CRO,ARG,66%,75%,20,1,2,2,72%,72%,62%,46%,,,,,0,0,33%,25%,35%,31%,139,131,20,1,2,2,,
Second,Tomas Berdych,6-1 6-0 7-6(4),2012,m,Tomas Berdych,Olivier Rochus,CZE,BEL,58%,60%,21,1,1,0,91%,60%,58%,53%,215,176,191,163,151,134,63%,0%,43%,23%,94,64,47,10,36,19,71%,89%
Second,Kevin Anderson,3-6 6-1 7-6(3) 6-3,2012,m,Kevin Anderson,Sergiy Stakhovsky,RSA,UKR,69%,52%,15,10,4,4,78%,74%,50%,56%,,,,,0,0,44%,67%,35%,31%,119,107,15,10,4,4,,
Second,Stanislas Wawrinka,7-6(3) 6-4 5-7 6-1,2012,m,Stanislas Wawrinka,Marcos Baghdatis,SUI,CYP,51%,52%,4,1,5,8,72%,58%,49%,45%,210,205,185,184,150,149,53%,42%,48%,39%,146,124,41,19,67,59,65%,60%
Second,Nicolas Almagro,4-6 6-3 6-7(4) 6-4 6-0,2012,m,Nicolas Almagro,Grigor Dimitrov,ESP,BUL,64%,58%,9,13,2,5,70%,71%,63%,39%,207,211,183,188,141,157,36%,43%,42%,33%,163,138,43,49,39,51,64%,70%
Second,John Isner,4-6 6-3 2-6 7-6(5) 10-8,2012,m,John Isner,David Nalbandian,USA,ARG,63%,64%,43,7,2,5,72%,73%,51%,58%,224,196,198,175,166,147,40%,33%,33%,36%,181,187,88,67,69,33,54%,73%
Second,Feliciano Lopez,7-5 7-6(4) 6-2,2012,m,Feliciano Lopez,Flavio Cipolla,ESP,ITA,53%,84%,6,0,5,2,75%,54%,50%,56%,212,170,187,149,151,124,50%,43%,46%,37%,111,92,34,32,34,36,71%,55%
Second,Lukas Lacko,6-3 6-1 3-6 6-3,2012,m,Lukas Lacko,Donald Young,SVK,USA,64%,57%,9,2,1,2,72%,68%,64%,48%,201,196,178,163,141,131,42%,20%,41%,31%,116,94,45,27,38,37,82%,62%
Second,Rafael Nadal,6-4 6-3 6-4,2012,m,Rafael Nadal,Tommy Haas,ESP,GER,64%,63%,2,8,2,4,75%,61%,55%,46%,196,203,176,187,135,156,60%,50%,45%,33%,96,78,36,30,17,38,82%,55%
First,Novak Djokovic,6-2 6-0 6-0,2012,m,Novak Djokovic,Paolo Lorenzi,SRB,ITA,73%,52%,4,0,1,5,73%,56%,47%,7%,197,188,178,177,147,145,69%,20%,67%,34%,82,41,22,10,13,30,81%,58%
First,Santiago Giraldo,6-4 6-2 6-1,2012,m,Santiago Giraldo,Matteo Viola,COL,ITA,61%,59%,0,2,1,4,76%,55%,71%,36%,,,,,0,0,40%,33%,53%,26%,88,54,0,2,1,4,,
First,Tatsuma Ito,6-3 4-6 6-3 6-4,2012,m,Tatsuma Ito,Potito Starace,JPN,ITA,58%,71%,11,9,3,3,80%,68%,55%,60%,208,192,178,173,134,143,56%,29%,34%,30%,113,102,44,29,28,32,61%,73%
First,Nicolas Mahut,7-5 7-5 6-3,2012,m,Nicolas Mahut,Radek Stepanek,FRA,CZE,59%,68%,7,3,4,3,79%,59%,38%,42%,199,192,181,173,142,146,38%,33%,46%,38%,116,97,40,38,23,22,62%,55%
First,Milos Raonic,6-4 6-0 6-2,2012,m,Milos Raonic,Filippo Volandri,CAN,ITA,62%,44%,13,0,4,5,84%,57%,58%,45%,,,,,0,0,50%,0%,50%,26%,93,60,13,0,4,5,,
First,Philipp Petzschner,6-0 6-0 6-2,2012,m,Philipp Petzschner,Lukas Rosol,GER,CZE,56%,56%,10,7,2,5,87%,45%,50%,30%,,,,,0,0,64%,100%,62%,29%,91,48,10,7,2,5,,
First,Lleyton Hewitt,7-5 6-4 3-6 7-5,2012,m,Lleyton Hewitt,Cedrik-Marcel Stebe,AUS,GER,55%,59%,8,13,2,6,76%,66%,49%,50%,196,196,173,181,140,143,32%,40%,40%,36%,144,137,29,59,33,64,63%,62%
First,Andy Roddick,6-3 6-4 6-1,2012,m,Andy Roddick,Robin Haase,USA,NED,72%,51%,13,7,1,6,73%,67%,64%,38%,224,203,198,190,159,150,46%,20%,47%,29%,91,63,35,30,20,32,62%,47%
First,Janko Tipsarevic,5-7 7-6(12) 6-3 6-4,2012,m,Janko Tipsarevic,Dmitry Tursunov,SRB,RUS,68%,60%,28,9,4,5,82%,75%,56%,50%,,,,,0,0,38%,50%,35%,26%,146,128,28,9,4,5,,
First,James Duckworth,6-3 6-4 6-4,2012,m,James Duckworth,Jurgen Zopp,AUS,EST,63%,60%,11,6,3,4,79%,67%,58%,48%,212,204,165,179,131,143,44%,25%,40%,29%,94,72,24,19,24,33,59%,58%
First,Andrey Golubev,7-5 6-7(4) 6-4 4-6 6-3,2012,m,Andrey Golubev,Mikhail Youzhny,KAZ,RUS,62%,62%,12,7,10,6,66%,62%,42%,43%,,,,,0,0,50%,32%,45%,43%,196,189,12,7,10,6,,
First,Richard Gasquet,6-3 3-6 6-3 6-1,2012,m,Richard Gasquet,Andreas Seppi,FRA,ITA,65%,51%,10,8,3,6,78%,60%,44%,45%,201,195,174,174,140,132,41%,50%,47%,34%,117,93,44,31,45,44,55%,62%
First,Juan Ignacio Chela,7-6(3) 6-3 6-4,2012,m,Juan Ignacio Chela,Michael Russell,ARG,USA,58%,61%,5,3,1,7,62%,56%,61%,47%,191,196,163,162,131,140,50%,45%,47%,38%,128,106,28,48,26,72,57%,73%
First,Pablo Andujar,6-1 7-6(12) 6-0,2012,m,Pablo Andujar,Igor Kunitsyn,ESP,RUS,62%,60%,4,1,4,3,74%,55%,39%,31%,,,,,0,0,64%,57%,55%,40%,102,75,4,1,4,3,,
First,Ryan Sweeting,6-4 6-4 6-2,2012,m,Ryan Sweeting,Matthias Bachinger,USA,GER,70%,60%,8,4,5,4,85%,70%,58%,47%,,,,,0,0,50%,0%,39%,23%,98,75,8,4,5,4,,
First,David Ferrer,6-1 6-4 6-2,2012,m,David Ferrer,Rui Machado,ESP,POR,59%,67%,2,0,1,4,85%,50%,50%,41%,192,188,169,157,139,125,78%,50%,53%,29%,91,58,15,20,20,52,50%,40%
First,Andy Murray,4-6 6-3 6-4 6-2,2012,m,Andy Murray,Ryan Harrison,GBR,USA,54%,62%,7,9,5,8,71%,66%,60%,48%,213,215,175,191,136,163,33%,29%,41%,34%,129,113,39,47,40,61,70%,68%
First,Edouard Roger-Vasselin,7-6(6) ret.,2012,m,Edouard Roger-Vasselin,Xavier Malisse,FRA,BEL,72%,54%,6,3,0,2,74%,74%,67%,46%,,,,,0,0,14%,50%,39%,28%,53,47,6,3,0,2,,
First,Michael Llodra,2-6 6-1 6-2 6-2,2012,m,Michael Llodra,Ernests Gulbis,FRA,LAT,75%,58%,11,6,2,8,71%,66%,56%,40%,,,,,0,0,35%,18%,45%,33%,110,86,11,6,2,8,,
First,Alex Jr. Bogomolov,6-3 6-2 6-4,2012,m,Alex Jr. Bogomolov,Daniel Gimeno-Traver,RUS,ESP,88%,68%,3,4,0,4,71%,53%,56%,42%,,,,,NULL,NULL,50%,50%,51%,31%,112,81,3,4,0,4,,
First,Viktor Troicki,4-6 6-7(3) 6-2 7-6(3) 6-2,2012,m,Viktor Troicki,Juan Carlos Ferrero,SRB,ESP,60%,63%,27,3,3,3,81%,66%,49%,59%,,,,,0,0,50%,33%,37%,32%,170,154,27,3,3,3,,
First,Mikhail Kukushkin,6-4 6-3 6-0,2012,m,Mikhail Kukushkin,Guillermo Garcia-Lopez,KAZ,ESP,60%,64%,5,1,0,3,76%,55%,67%,50%,,,,,0,0,55%,50%,47%,28%,90,62,5,1,0,3,,
First,Thomaz Bellucci,7-6(5) 6-4 6-3,2012,m,Thomaz Bellucci,Dudi Sela,BRA,ISR,47%,55%,10,7,4,5,81%,65%,58%,50%,,,,,0,0,50%,33%,42%,31%,118,100,10,7,4,5,,
First,Gael Monfils,7-6(5) 6-3 6-3,2012,m,Gael Monfils,Marinko Matosevic,FRA,AUS,54%,55%,12,3,6,7,72%,66%,51%,37%,213,196,173,176,139,137,45%,20%,47%,38%,122,102,32,34,31,53,58%,69%
First,Gilles Simon,6-1 3-6 6-7(5) 6-3 6-2,2012,m,Gilles Simon,Danai Udomchoke,FRA,THA,54%,61%,14,4,2,4,67%,58%,63%,49%,197,198,172,168,126,139,77%,45%,46%,35%,150,121,53,31,51,54,68%,76%
First,Julien Benneteau,6-4 6-2 7-5,2012,m,Julien Benneteau,Karol Beck,FRA,SVK,63%,56%,6,7,3,2,70%,62%,74%,51%,,,,,0,0,42%,33%,43%,29%,98,75,6,7,3,2,,
First,Matthew Ebden,6-3 7-6(1) 6-2,2012,m,Matthew Ebden,Joao Souza,AUS,BRA,70%,65%,10,8,3,2,82%,63%,52%,41%,199,202,182,182,140,151,25%,50%,45%,27%,114,85,34,32,32,52,63%,69%
First,Kei Nishikori,6-1 7-6(7) 6-0,2012,m,Kei Nishikori,Stephane Robert,JPN,FRA,71%,49%,7,2,0,7,77%,62%,48%,34%,189,194,169,180,137,136,58%,33%,52%,31%,107,71,35,26,25,35,64%,76%
First,Marcel Granollers,6-0 7-6(4) 5-7 5-7 6-3,2012,m,Marcel Granollers,Jesse Levine,ESP,CAN,63%,69%,24,7,5,3,84%,67%,47%,45%,,,,,0,0,31%,43%,40%,30%,173,148,24,7,5,3,,
First,Frederico Gil,2-6 6-1 6-1 4-1 ret.,2012,m,Frederico Gil,Ivan Dodig,POR,CRO,72%,51%,3,6,0,4,64%,63%,64%,26%,,,,,0,0,67%,21%,55%,36%,94,64,3,6,0,4,,
First,Ricardo Mello,6-4 6-4 7-5,2012,m,Ricardo Mello,Roberto Bautista-Agut,BRA,ESP,67%,56%,3,6,4,9,68%,63%,55%,37%,,,,,NULL,NULL,58%,44%,49%,37%,122,100,3,6,4,9,,
First,Jo-Wilfried Tsonga,6-4 3-6 6-2 7-5,2012,m,Jo-Wilfried Tsonga,Denis Istomin,FRA,UZB,49%,69%,11,9,5,3,71%,64%,56%,54%,221,207,190,186,129,139,67%,33%,39%,37%,120,112,44,31,45,49,70%,55%
First,Mardy Fish,6-4 6-4 6-2,2012,m,Mardy Fish,Gilles Muller,USA,LUX,62%,66%,11,9,2,2,91%,69%,64%,45%,213,201,182,182,138,156,31%,0%,39%,19%,97,73,30,30,12,39,78%,59%
First,Alejandro Falla,6-3 6-2 3-6 6-1,2012,m,Alejandro Falla,Fabio Fognini,COL,ITA,66%,55%,5,2,3,8,68%,65%,53%,38%,,,,,0,0,64%,29%,47%,37%,130,107,5,2,3,8,,
First,Pere Riba,7-6(2) 2-6 6-4 7-6(5),2012,m,Pere Riba,Albert Montanes,ESP,ESP,61%,66%,16,2,3,7,70%,66%,48%,49%,,,,,0,0,36%,43%,40%,39%,143,145,16,2,3,7,,
First,Philipp Kohlschreiber,7-5 4-6 6-3 6-7(4) 6-0,2012,m,Philipp Kohlschreiber,Juan Monaco,GER,ARG,59%,71%,9,2,2,1,76%,62%,59%,50%,205,203,175,168,143,147,57%,38%,42%,31%,163,134,54,30,61,67,65%,80%
First,Yen-Hsun Lu,6-4 3-6 6-1 3-6 6-3,2012,m,Yen-Hsun Lu,Rik de Voest,TPE,RSA,59%,67%,7,10,4,0,78%,67%,46%,52%,,,,,0,0,50%,33%,38%,35%,137,130,7,10,4,0,,
First,Florent Serra,6-7(3) 3-6 5-4 ret.,2012,m,Florent Serra,Steve Darcis,FRA,BEL,61%,75%,5,4,2,1,58%,65%,50%,48%,,,,,0,0,30%,38%,39%,45%,99,110,5,4,2,1,,
First,Blaz Kavcic,6-4 6-3 6-4,2012,m,Blaz Kavcic,James Ward,SLO,GBR,60%,47%,2,7,5,3,74%,67%,50%,45%,,,,,0,0,45%,43%,45%,36%,99,78,2,7,5,3,,
First,Juan Martin Del Potro,2-6 6-1 7-5 6-4,2012,m,Juan Martin Del Potro,Adrian Mannarino,ARG,FRA,58%,68%,12,7,6,3,75%,70%,40%,34%,206,197,187,169,158,143,75%,31%,42%,40%,125,114,35,44,39,49,45%,76%
First,Alexandr Dolgopolov,1-6 4-6 6-1 6-1 6-2,2012,m,Alexandr Dolgopolov,Greg Jones,UKR,AUS,57%,54%,15,8,1,8,79%,69%,57%,38%,203,211,181,181,117,140,44%,80%,45%,30%,119,94,46,29,34,42,70%,63%
First,Tobias Kamke,6-2 6-1 6-2,2012,m,Tobias Kamke,Victor Hanescu,GER,ROU,56%,75%,1,1,3,1,73%,45%,62%,38%,,,,,0,0,33%,100%,57%,32%,99,62,1,1,3,1,,
First,Sam Querrey,6-3 6-2 6-2,2012,m,Sam Querrey,Kenny de Schepper,USA,FRA,58%,52%,12,5,4,7,89%,70%,50%,35%,,,,,0,0,63%,0%,46%,27%,92,60,12,5,4,7,,
First,Bernard Tomic,4-6 6-7(3) 6-4 6-2 7-5,2012,m,Bernard Tomic,Fernando Verdasco,AUS,ESP,61%,60%,7,15,3,11,70%,66%,53%,49%,197,218,175,185,140,160,33%,31%,40%,36%,181,168,44,57,60,83,74%,64%
First,Ivo Karlovic,7-6(3) 7-5 6-3,2012,m,Ivo Karlovic,Jurgen Melzer,CRO,AUT,78%,65%,24,2,3,8,75%,71%,43%,44%,,,,,0,0,50%,29%,38%,32%,110,96,24,2,3,8,,
First,Carlos Berlocq,2-6 6-3 7-6(3) 6-3,2012,m,Carlos Berlocq,Jesse Huta Galung,ARG,NED,67%,52%,9,8,3,12,74%,78%,36%,40%,,,,,0,0,42%,38%,40%,39%,127,122,9,8,3,12,,
